code,name
\U0001F600,grinning_face
\U0001F603,grinning_face_with_big_eyes
\U0001F604,grinning_face_with_smiling_eyes
\U0001F601,beaming_face_with_smiling_eyes
\U0001F606,grinning_squinting_face
\U0001F605,grinning_face_with_sweat
\U0001F923,rolling_on_the_floor_laughing
\U0001F602,face_with_tears_of_joy
\U0001F642,slightly_smiling_face
\U0001F643,upside_down_face
\U0001FAE0,melting_face
\U0001F609,winking_face
\U0001F60A,smiling_face_with_smiling_eyes
\U0001F607,smiling_face_with_halo
\U0001F970,smiling_face_with_hearts
\U0001F60D,smiling_face_with_heart_eyes
\U0001F929,star_struck
\U0001F618,face_blowing_a_kiss
\U0001F617,kissing_face
\U000263A,smiling_face
\U0001F61A,kissing_face_with_closed_eyes
\U0001F619,kissing_face_with_smiling_eyes
\U0001F972,smiling_face_with_tear
\U0001F60B,face_savoring_food
\U0001F61B,face_with_tongue
\U0001F61C,winking_face_with_tongue
\U0001F92A,zany_face
\U0001F61D,squinting_face_with_tongue
\U0001F911,money_mouth_face
\U0001F917,smiling_face_with_open_hands
\U0001F92D,face_with_hand_over_mouth
\U0001FAE2,face_with_open_eyes_and_hand_over_mouth
\U0001FAE3,face_with_peeking_eye
\U0001F92B,shushing_face
\U0001F914,thinking_face
\U0001FAE1,saluting_face
\U0001F910,zipper_mouth_face
\U0001F928,face_with_raised_eyebrow
\U0001F610,neutral_face
\U0001F611,expressionless_face
\U0001F636,face_without_mouth
\U0001FAE5,dotted_line_face
\U000FE0F,face_in_clouds
\U0001F60F,smirking_face
\U0001F612,unamused_face
\U0001F644,face_with_rolling_eyes
\U0001F62C,grimacing_face
\U0001F4A8,face_exhaling
\U0001F925,lying_face
\U0001F60C,relieved_face
\U0001F614,pensive_face
\U0001F62A,sleepy_face
\U0001F924,drooling_face
\U0001F634,sleeping_face
\U0001F637,face_with_medical_mask
\U0001F912,face_with_thermometer
\U0001F915,face_with_head_bandage
\U0001F922,nauseated_face
\U0001F92E,face_vomiting
\U0001F927,sneezing_face
\U0001F975,hot_face
\U0001F976,cold_face
\U0001F974,woozy_face
\U0001F635,face_with_crossed_out_eyes
\U0001F4AB,face_with_spiral_eyes
\U0001F92F,exploding_head
\U0001F920,cowboy_hat_face
\U0001F973,partying_face
\U0001F978,disguised_face
\U0001F60E,smiling_face_with_sunglasses
\U0001F913,nerd_face
\U0001F9D0,face_with_monocle
\U0001F615,confused_face
\U0001FAE4,face_with_diagonal_mouth
\U0001F61F,worried_face
\U0001F641,slightly_frowning_face
\U0002639,frowning_face
\U0001F62E,face_with_open_mouth
\U0001F62F,hushed_face
\U0001F632,astonished_face
\U0001F633,flushed_face
\U0001F97A,pleading_face
\U0001F979,face_holding_back_tears
\U0001F626,frowning_face_with_open_mouth
\U0001F627,anguished_face
\U0001F628,fearful_face
\U0001F630,anxious_face_with_sweat
\U0001F625,sad_but_relieved_face
\U0001F622,crying_face
\U0001F62D,loudly_crying_face
\U0001F631,face_screaming_in_fear
\U0001F616,confounded_face
\U0001F623,persevering_face
\U0001F61E,disappointed_face
\U0001F613,downcast_face_with_sweat
\U0001F629,weary_face
\U0001F62B,tired_face
\U0001F971,yawning_face
\U0001F624,face_with_steam_from_nose
\U0001F621,pouting_face
\U0001F620,angry_face
\U0001F92C,face_with_symbols_on_mouth
\U0001F608,smiling_face_with_horns
\U0001F47F,angry_face_with_horns
\U0001F480,skull
\U0002620,skull_and_crossbones
\U0001F4A9,pile_of_poo
\U0001F921,clown_face
\U0001F479,ogre
\U0001F47A,goblin
\U0001F47B,ghost
\U0001F47D,alien
\U0001F47E,alien_monster
\U0001F916,robot
\U0001F63A,grinning_cat
\U0001F638,grinning_cat_with_smiling_eyes
\U0001F639,cat_with_tears_of_joy
\U0001F63B,smiling_cat_with_heart_eyes
\U0001F63C,cat_with_wry_smile
\U0001F63D,kissing_cat
\U0001F640,weary_cat
\U0001F63F,crying_cat
\U0001F63E,pouting_cat
\U0001F648,see_no_evil_monkey
\U0001F649,hear_no_evil_monkey
\U0001F64A,speak_no_evil_monkey
\U0001F48B,kiss_mark
\U0001F48C,love_letter
\U0001F498,heart_with_arrow
\U0001F49D,heart_with_ribbon
\U0001F496,sparkling_heart
\U0001F497,growing_heart
\U0001F493,beating_heart
\U0001F49E,revolving_hearts
\U0001F495,two_hearts
\U0001F49F,heart_decoration
\U0002763,heart_exclamation
\U0001F494,broken_heart
\U0001F525,heart_on_fire
\U0001FA79,mending_heart
\U0002764,red_heart
\U0001F9E1,orange_heart
\U0001F49B,yellow_heart
\U0001F49A,green_heart
\U0001F499,blue_heart
\U0001F49C,purple_heart
\U0001F90E,brown_heart
\U0001F5A4,black_heart
\U0001F90D,white_heart
\U0001F4AF,hundred_points
\U0001F4A2,anger_symbol
\U0001F4A5,collision
\U0001F4AB,dizzy
\U0001F4A6,sweat_droplets
\U0001F4A8,dashing_away
\U0001F573,hole
\U0001F4A3,bomb
\U0001F4AC,speech_balloon
\U000FE0F,eye_in_speech_bubble
\U0001F5E8,left_speech_bubble
\U0001F5EF,right_anger_bubble
\U0001F4AD,thought_balloon
\U0001F4A4,zzz
\U0001F44B,waving_hand
\U0001F91A,raised_back_of_hand
\U0001F590,hand_with_fingers_splayed
\U000270B,raised_hand
\U0001F596,vulcan_salute
\U0001FAF1,rightwards_hand
\U0001FAF2,leftwards_hand
\U0001FAF3,palm_down_hand
\U0001FAF4,palm_up_hand
\U0001F44C,ok_hand
\U0001F90C,pinched_fingers
\U0001F90F,pinching_hand
\U000270C,victory_hand
\U0001F91E,crossed_fingers
\U0001FAF0,hand_with_index_finger_and_thumb_crossed
\U0001F91F,love_you_gesture
\U0001F918,sign_of_the_horns
\U0001F919,call_me_hand
\U0001F448,backhand_index_pointing_left
\U0001F449,backhand_index_pointing_right
\U0001F446,backhand_index_pointing_up
\U0001F595,middle_finger
\U0001F447,backhand_index_pointing_down
\U000261D,index_pointing_up
\U0001FAF5,index_pointing_at_the_viewer
\U0001F44D,thumbs_up
\U0001F44E,thumbs_down
\U000270A,raised_fist
\U0001F44A,oncoming_fist
\U0001F91B,left_facing_fist
\U0001F91C,right_facing_fist
\U0001F44F,clapping_hands
\U0001F64C,raising_hands
\U0001FAF6,heart_hands
\U0001F450,open_hands
\U0001F932,palms_up_together
\U0001F91D,handshake
\U0001F64F,folded_hands
\U000270D,writing_hand
\U0001F485,nail_polish
\U0001F933,selfie
\U0001F4AA,flexed_biceps
\U0001F9BE,mechanical_arm
\U0001F9BF,mechanical_leg
